year,month,법무부?KTO,,,일본 JNTO,,중국 국가관광국,,대만 교통부 관광국,,홍콩 정부관광국,,태국 정부관광국,,베트남 정부 관광국,,마카오정부 관광국,,싱가포르 정부관광국,,스리랑카 관광국,,필리핀 관광청,,캄보디아 관광청,,인도네시아관광국,,말레이시아 정부 관광국,,이스라엘 관광국,,터키 관광국,,몽골 통계청,,몰디브 관광국,,미얀마 관광국,,인도 관광청,,키프로스 통계청,,부탄 관광국,,요르단 관광국,,라오스 통계청,,네팔 관광국,,예멘 관광국,
,,출국자수,국적기준,,입국자 수,국적기준,입국자 수,국적기준,입국자 수,거주지 기준,입국자 수,거주지 기준,입국자 수,국적기준,입국자 수,국적 기준,입국자 수,국적 기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,거주지 기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,국적 기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준
,,명수,전년대비,,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비, 명수 ,전년대비, 명수 ,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비
2004년,1월,"793,478",,,"164,785",,"186,246",,"12,193",,"37,006",,"102,299",,,,"5,677",,"30,255",,,,"37,526",,,,,,"5,892",,"2,562",,,,,,,,,,"16,886",,,,,,,,,,,,,
2004년,2월,"670,447",,,"142,718",,"215,373",,"13,916",,"37,513",,"59,455",,,,"3,770",,"29,835",,,,"32,196",,,,,,"6,901",,"2,234",,,,,,,,,,,,,,,,,,,,,,,
2004년,3월,"587,629",,,"112,516",,"190,382",,"12,077",,"37,622",,"47,499",,,,"3,098",,"25,853",,,,"25,858",,,,,,"3,394",,"1,710",,,,,,,,,,,,,,,,,,,,,,,
2004년,4월,"642,413",,,"120,427",,"223,062",,"12,802",,"44,722",,"58,876",,,,"4,163",,"26,705",,,,"26,749",,,,,,"3,278",,"1,464",,,,,,,,,,,,,,,,,,,,,,,
2004년,5월,"680,185",,,"115,659",,"202,592",,"11,188",,"38,076", ,"71,516",,,,"3,729",,"31,469",,,,"29,353",,,,,,"6,121",,"1,175",,,,,,,,,,,,,,,,,,,,,,,
2004년,6월,"712,260",,,"116,269",,"227,553",,"12,724",,"41,469",,"70,418",,,,"4,082",,"29,905",,,,"27,389",,,,,,"7,470",,"1,297",,,,,,,,,,,,,,,,,,,,,,,
2004년,7월,"897,234",,,"160,770",,"284,034",,"11,197",,"49,663",,"74,736",,,,"5,738",,"35,560",,,,"31,148",,,,,,"6,631",,"1,269",,,,,,,,,,,,,,,,,,,,,,,
2004년,8월,"930,573",,,"170,182",,"334,568",,"11,628",,"52,703",,"89,965",,,,"7,230",,"38,530",,,,"35,341",,,,,,"9,456",,"2,952",,,,,,,,,,,,,,,,,,,,,,,
2004년,9월,"682,244",,,"113,083",,"239,549",,"11,686",,"44,670",,"65,546",,,,"6,322",,"25,956",,,,"26,187",,,,,,"11,996",,846,,,,,,,,,,,,,,,,,,,,,,,
2004년,10월,"757,538",,,"122,877",,"272,800",,"11,811",,"48,786",,"77,567",,,,"6,688",,"26,935",,,,"29,445",,,,,,"10,403",,"1,427",,,,,,,,,,"13,011",,,,,,,,,,,,,
2004년,11월,"745,887",,,"128,369",,"243,734",,"13,879",,"55,822",,"103,051",,,,"7,453",,"31,623",,,,"39,294",,,,,,"8,982",,838,,,,,,,,,,,,,,,,,,,,,,,
2004년,12월,"725,697",,,"120,817",,"225,000",,"12,994",,"51,138",,"89,963",,,,"7,681",,"28,244",,,,"38,116",,,,,,"10,746",,729,,,,,,,,,,,,,,,,,,,,,,,
2005년,1월,"897,406",13.10%,,"174,775",6.10%,"301,458",61.90%,"19,213",57.60%,"53,643",45.00%,"52,732",-48.50%,"25,326",,"12,988",128.80%,"20,390",-32.60%,,,"45,130",20.30%,,,"15,726",-48.70%,"11,461",94.50%,"3,280",28.00%,,,,,,,,,"14,619",-13.40%,0,,,,"8,706",,,,,,,
2005년,2월,"745,998",11.30%,,"148,946",4.40%,"263,822",22.50%,"15,695",12.80%,"46,151",23.00%,"54,819",-7.80%,"26,261",,"9,682",156.80%,"24,546",-17.70%,,,"35,883",11.50%,,,"19,555",-12.50%,"12,450",80.40%,"3,249",45.40%,,,,,,,,,,,0,,,,,,,,,,,
2005년,3월,"707,058",20.30%,,"130,963",16.40%,"258,586",35.80%,"13,555",12.20%,"42,506",13.00%,"51,889",9.20%,"23,513",,"7,067",128.10%,"23,479",-9.20%,,,"32,478",25.60%,,,"17,323",-6.40%,"11,963",252.50%,"1,595",-6.70%,,,,,,,,,,,11,,,,,,,,,,,
2005년,4월,"762,096",18.60%,,"122,084",1.40%,"292,795",31.30%,"14,924",16.60%,"51,457",15.10%,"47,738",-18.90%,"25,928",,"8,225",97.60%,"29,034",8.70%,,,"34,180",27.80%,,,"20,772",15.30%,"10,926",233.30%,"1,852",26.50%,,,,,,,,,"8,283",,20,,,,,,,,,,,
2005년,5월,"802,497",18.00%,,"114,151",-1.30%,"303,391",49.80%,"16,167",44.50%,"50,832",33.50%,"62,025",-13.30%,"24,274",,"9,092",143.80%,"28,927",-8.10%,,,"37,510",27.80%,,,"22,945",4.80%,"12,026",96.50%,"1,719",46.30%,,,,,,,,,,,0,,,,,,,,,,,
2005년,6월,"865,693",21.50%,,"133,177",14.50%,"305,043",34.10%,"16,919",33.00%,"57,555",38.80%,"76,232",8.30%,"28,188",,"9,246",126.50%,"32,366",8.20%,,,"39,800",45.30%,,,"21,648",18.70%,"10,620",42.20%,"2,445",88.50%,,,,,,,,,,,0,,,,,,,,,,,
2005년,7월,"1,020,757",13.80%,,"170,420",6.00%,"336,050",18.30%,"14,237",27.20%,"57,983",16.80%,"82,743",10.70%,"25,624",,"10,235",78.40%,"42,961",20.80%,,,"47,265",51.70%,,,"30,276",50.00%,"16,227",144.70%,"1,693",33.40%,,,,,,,,,"12,623",,0,,,,,,,,,,,
2005년,8월,"1,070,289",15.00%,,"193,279",13.60%,"393,475",17.60%,"16,092",38.40%,"61,937",17.50%,"88,053",-2.10%,"32,408",,"11,708",61.90%,"42,791",11.10%,,,"46,366",31.20%,,,"27,500",20.10%,"18,067",91.10%,"4,394",48.80%,,,,,,,,,,,0,,,,,,,,,,,
2005년,9월,"785,549",15.10%,,"130,269",15.20%,"284,540",18.80%,"12,056",3.20%,"52,034",16.50%,"58,794",-10.30%,"22,975",,"7,553",19.50%,"25,572",-1.50%,,,"30,481",16.40%,,,"20,840",68.50%,"14,425",20.20%,"1,071",26.60%,,,,,,,,,,,0,,,,,,,,,,,
2005년,10월,"848,088",12.00%,,"146,650",19.30%,"314,111",15.10%,"14,055",19.00%,"57,183",17.20%,"75,330",-2.90%,"27,588",,"9,594",43.50%,"30,060",11.60%,,,"42,044",42.80%,,,"18,038",13.90%,"11,202",7.70%,"1,838",28.80%,,,,,,,,,"14,320",10.10%,0,,,,,,,,,,,
2005년,11월,"784,031",5.10%,,"140,442",9.40%,"255,440",4.80%,"15,199",9.50%,"53,115",-4.80%,"81,795",-20.60%,"27,656",,"10,870",45.80%,"31,277",-1.10%,,,"47,685",21.40%,,,"30,936",62.30%,"14,208",58.20%,907,8.20%,,,,,,,,,,,20,,,,,,,,,,,
2005년,12월,"790,681",9.00%,,"142,015",17.50%,"234,074",4.00%,"14,405",10.90%,"58,084",13.60%,"84,351",-6.20%,"27,472",,"14,479",88.50%,"32,789",16.10%,,,"50,643",32.90%,,,"17,797",-33.00%,"14,602",35.90%,"1,845",153.10%,,,,,,,,,,,0,,,,,,,,,,,
2006년,1월,"985,287",9.80%,,"192,590",10.20%,"268,689",-10.90%,"20,001",4.10%,"60,723",13.20%,"118,919",125.50%,"38,758",53.00%,"18,451",42.10%,"40,604",99.10%,660,,"58,583",29.80%,,,"23,988",52.50%,"15,051",31.30%,"3,615",10.20%,,,"25,753",,,,"1,316",,"22,601",54.60%,0,-,,,"11,824",35.80%,,,,,,
2006년,2월,"944,596",26.60%,,"174,239",17.00%,"322,009",22.10%,"18,518",18.00%,"59,013",27.90%,"113,858",107.70%,"42,231",60.80%,"18,200",88.00%,"40,835",66.40%,451,,"47,678",32.90%,,,"23,621",20.80%,"17,705",42.20%,"5,782",78.00%,,,,,,,"1,127",,,,0,-,,,,,,,,,,
2006년,3월,"823,918",16.50%,,"149,071",13.80%,"270,025",4.40%,"15,970",17.80%,"53,903",26.80%,"91,948",77.20%,"40,629",72.80%,"12,279",73.80%,"36,144",53.90%,482,,"38,507",18.60%,,,"22,605",30.50%,"15,529",29.80%,"3,560",123.20%,,,,,,,"1,115",,,,0,-100.00%,,,,,,,,,,
